Date,State,Unemployment_Rate,Labour_Participation_Rate,Employment_Rate,Estimated_Employed,Estimated_Unemployed,Region
2019-01-01,Andhra Pradesh,7.65,50.44,46.59,1487948,123211,South
2019-01-01,Arunachal Pradesh,4.84,40.65,38.68,464984,23646,Northeast
2019-01-01,Assam,10.11,38.35,34.47,1676896,188671,Northeast
2019-01-01,Bihar,11.66,52.15,46.07,670540,88538,East
2019-01-01,Chhattisgarh,6.18,43.17,40.5,1158994,76334,Central
2019-01-01,Goa,9.58,45.34,41.0,742324,78625,West
2019-01-01,Gujarat,3.64,42.97,41.4,889587,33601,West
2019-01-01,Haryana,19.5,45.75,36.83,1485488,359870,North
2019-01-01,Himachal Pradesh,8.2,48.07,44.13,312874,27962,North
2019-01-01,Jharkhand,7.41,48.33,44.75,567105,45386,East
2019-01-01,Karnataka,3.17,49.63,48.06,1192190,39023,South
2019-01-01,Kerala,11.92,40.07,35.3,963063,130291,South
2019-01-01,Madhya Pradesh,6.01,43.3,40.7,1155938,73888,Central
2019-01-01,Maharashtra,5.97,47.29,44.47,592258,37625,West
2019-01-01,Manipur,13.94,39.5,34.0,469814,76105,Northeast
2019-01-01,Meghalaya,6.29,38.77,36.33,713544,47870,Northeast
2019-01-01,Mizoram,2.67,52.09,50.7,1067416,29250,Northeast
2019-01-01,Nagaland,20.27,42.78,34.1,1003368,255154,Northeast
2019-01-01,Odisha,6.31,39.27,36.79,1817784,122412,East
2019-01-01,Punjab,8.34,51.13,46.86,653374,59464,North
2019-01-01,Rajasthan,26.77,51.11,37.43,311838,114023,North
2019-01-01,Sikkim,3.8,44.09,42.42,433287,17092,Northeast
2019-01-01,Tamil Nadu,4.82,43.63,41.52,326389,16510,South
2019-01-01,Telangana,7.23,43.29,40.16,788410,61448,South
2019-01-01,Tripura,10.3,53.08,47.62,1249880,143520,Northeast
2019-01-01,Uttar Pradesh,6.23,40.03,37.54,1392474,92593,North
2019-01-01,Uttarakhand,5.14,51.11,48.48,1319665,71493,North
2019-01-01,West Bengal,7.58,46.89,43.33,1050345,86151,East
2019-01-01,Delhi,15.12,43.34,36.79,1025930,182747,North
2019-01-01,Jammu & Kashmir,13.31,53.43,46.32,751173,115339,North
2019-01-31,Andhra Pradesh,8.43,41.89,38.36,324659,29897,South
2019-01-31,Arunachal Pradesh,4.54,42.93,40.98,502195,23858,Northeast
2019-01-31,Assam,9.58,51.66,46.71,625737,66314,Northeast
2019-01-31,Bihar,11.31,53.17,47.16,1380333,176076,East
2019-01-31,Chhattisgarh,5.99,41.87,39.37,953469,60734,Central
2019-01-31,Goa,9.69,51.91,46.88,2050094,219915,West
2019-01-31,Gujarat,4.45,45.1,43.09,646088,30118,West
2019-01-31,Haryana,19.06,40.04,32.41,654355,154112,North
2019-01-31,Himachal Pradesh,8.02,46.82,43.06,1577688,137581,North
2019-01-31,Jharkhand,8.87,44.18,40.26,1961943,191039,East
2019-01-31,Karnataka,2.11,42.84,41.94,279291,6034,South
2019-01-31,Kerala,12.13,48.36,42.5,1173785,162016,South
2019-01-31,Madhya Pradesh,5.2,40.46,38.36,1036712,56821,Central
2019-01-31,Maharashtra,7.19,54.76,50.82,807631,62578,West
2019-01-31,Manipur,14.26,42.04,36.04,1361340,226492,Northeast
2019-01-31,Meghalaya,6.75,44.25,41.26,1380456,99950,Northeast
2019-01-31,Mizoram,4.32,39.53,37.83,1611008,72728,Northeast
2019-01-31,Nagaland,22.6,43.45,33.63,450441,131542,Northeast
2019-01-31,Odisha,6.13,49.52,46.48,267113,17442,East
2019-01-31,Punjab,8.25,46.71,42.85,651046,58519,North
2019-01-31,Rajasthan,25.1,49.75,37.26,834730,279731,North
2019-01-31,Sikkim,3.43,53.92,52.08,582642,20687,Northeast
2019-01-31,Tamil Nadu,3.92,53.72,51.61,2295722,93748,South
2019-01-31,Telangana,6.19,42.39,39.76,1379656,91072,South
2019-01-31,Tripura,9.83,47.0,42.38,673178,73403,Northeast
2019-01-31,Uttar Pradesh,6.2,39.58,37.13,1684777,111278,North
2019-01-31,Uttarakhand,5.06,43.76,41.55,860684,45851,North
2019-01-31,West Bengal,6.98,50.34,46.83,2124662,159318,East
2019-01-31,Delhi,15.25,48.91,41.45,364234,65542,North
2019-01-31,Jammu & Kashmir,13.83,40.75,35.11,1595377,255991,North
2019-03-02,Andhra Pradesh,8.23,38.09,34.95,427659,38375,South
2019-03-02,Arunachal Pradesh,5.13,47.33,44.9,1622518,87709,Northeast
2019-03-02,Assam,8.65,50.11,45.77,717567,67920,Northeast
2019-03-02,Bihar,12.33,43.53,38.17,1472921,207062,East
2019-03-02,Chhattisgarh,8.07,49.18,45.21,1382254,121351,Central
